,nome,cpf,idade,data,endereco,estado
195,Dr. Diogo Mendonça,087.312.496-04,51,1974-08-14,"estrada rafaela vargas
vila piratininga
86652644 pinto de da rocha / df",AMAZONAS
196,Davi Luiz Rezende,367.084.219-50,60,1965-07-20,"esplanada davi miguel moraes, 47
vila pinho
00643644 pires do galho / ap",PARAÍBA
197,Benjamim Caldeira,836.274.150-35,38,1986-11-06,"sítio de campos
antonio ribeiro de abreu 1ª seção
55498138 garcia / es",ACRE
198,Dr. Bruno Alves,382.491.765-37,42,1983-10-10,"morro de jesus, 34
vila fumec
32575-912 novais de vargas / pi",GOIÁS
199,Ana Vitória Sá,960.847.123-04,58,1966-11-08,"lago da conceição
vila cloris
25920181 abreu / mg",ESPÍRITO SANTO
200,Bernardo Da Mata,805.967.213-40,44,1981-03-18,"vale de da cruz, 97
jardinópolis
23705936 guerra de minas / ms",RORAIMA
201,Sra. Maria Isis Campos,832.157.906-02,30,1994-11-28,"passarela maitê sales, 32
vista do sol
70903-668 da conceição / ms",MARANHÃO
202,Juliana Costela,183.509.726-02,56,1969-06-06,"praia mendonça, 58
vila madre gertrudes 2ª seção
15435983 nascimento verde / rr",MATO GROSSO
203,Bella Castro,027.359.681-03,21,2004-05-02,"recanto josé miguel das neves, 46
pedreira padro lopes
30989-866 marques / pr",RONDÔNIA
204,Vitor Hugo Macedo,938.241.650-15,41,1983-12-09,"sítio de costela, 13
vila piratininga venda nova
00685044 pires das flores / ce",PARAÍBA
205,Danilo Cassiano,294.803.561-98,20,2005-08-26,"colônia de rodrigues, 24
anchieta
25038-362 cassiano alegre / se",MATO GROSSO DO SUL
206,Pedro Pacheco,243.905.786-00,44,1981-09-22,"colônia maria luiza da cunha, 783
são cristóvão
63871746 gomes / ac",ACRE
207,Dr. Rodrigo Pastor,589.634.072-92,59,1966-06-26,"feira de das neves, 53
nova esperança
75289-777 barbosa / pr",MATO GROSSO DO SUL
208,Sr. Gael Leão,516.420.837-71,51,1974-09-26,"rodovia viana, 82
solar do barreiro
49643146 lopes / rn",ACRE
209,Antonella Vargas,219.437.586-46,20,2005-10-13,"avenida vitor hugo dias, 59
união
54659726 da mota / mt",RIO GRANDE DO SUL
210,Sr. Luigi Montenegro,532.180.796-59,55,1969-11-14,"parque da luz, 7
marajó
23669323 nogueira / pe",TOCANTINS
211,Rebeca Freitas,428.713.569-55,28,1997-08-15,"jardim de fogaça, 393
são paulo
17169897 das neves de monteiro / df",RORAIMA
212,Lucas Gabriel Da Mata,172.630.948-78,38,1987-04-08,"esplanada machado, 10
vila maloca
88211639 cavalcante / ms",AMAZONAS
213,João Pedro Araújo,953.472.618-46,36,1989-09-08,"quadra de ferreira, 98
cachoeirinha
08741-241 pimenta / ac",SANTA CATARINA
214,Rhavi Pires,425.671.308-53,18,2007-09-27,"lagoa de da cunha, 148
vila aeroporto
56874382 brito / rj",RIO GRANDE DO NORTE
215,Gustavo Henrique Araújo,308.629.714-03,30,1995-06-03,"viaduto brenda cavalcanti, 511
cônego pinheiro 1ª seção
90686-183 carvalho / rr",GOIÁS
216,Maria Liz Aparecida,201.938.564-33,44,1981-07-11,"ladeira luna santos, 55
vila de sá
15663-294 silva da prata / al",RORAIMA
217,Diego Guerra,128.943.075-60,40,1985-08-31,"trevo luiz henrique da costa, 61
são marcos
14071541 lima / pe",GOIÁS
218,Luiz Gustavo Da Rocha,496.580.213-60,46,1979-01-01,"jardim de viana, 35
eymard
92113305 ramos da praia / to",AMAZONAS
219,Lara Moraes,609.514.827-85,60,1964-11-04,"praça joana rocha, 30
castanheira
13665283 moraes do sul / ap",TOCANTINS
220,Vicente Vargas,645.891.327-37,24,2001-10-10,"estação cavalcanti, 88
das industrias i
69980-813 macedo / ap",PARÁ
221,Théo Da Costa,829.153.076-95,24,2001-01-13,"vila matteo freitas, 6
jardim vitoria
35419-553 lima / pa",RIO GRANDE DO SUL
222,Ryan Santos,602.539.814-33,20,2005-07-28,"avenida gael henrique garcia, 7
vila santa monica 1ª seção
64030023 santos / es",SÃO PAULO
223,Brayan Sá,217.085.943-88,31,1994-07-16,"residencial de montenegro, 17
vila paris
12087-914 fogaça alegre / pr",SÃO PAULO
224,Rafael Lopes,420.769.153-70,55,1970-05-10,"pátio camila moura, 471
nova granada
43833-381 cavalcanti / al",ALAGOAS
225,Ester Barros,968.203.745-00,46,1979-05-29,"ladeira teixeira, 7
vila madre gertrudes 3ª seção
77960-279 nunes alegre / rn",RIO DE JANEIRO
226,Dr. Henry Gabriel Da Luz,725.841.630-71,41,1984-08-30,"trecho helena oliveira, 8
mangabeiras
28338684 moraes / pe",ALAGOAS
227,Vinicius Sousa,839.470.625-83,28,1997-08-31,"chácara de rios, 91
funcionários
72200643 rocha / df",RIO GRANDE DO SUL
228,Emanuella Da Rocha,763.812.940-78,20,2005-04-28,"passarela sales, 17
ribeiro de abreu
06492-090 cardoso / ba",ACRE
229,Cecilia Novaes,712.086.459-94,25,2000-03-25,"morro ramos, 18
marieta 1ª seção
48310774 castro de câmara / rj",SÃO PAULO
230,Leonardo Barbosa,938.270.561-95,23,2002-10-27,"vila da cunha, 97
túnel de ibirité
76599-622 sampaio de vargas / ba",RIO GRANDE DO NORTE
231,Gael Silva,907.462.538-00,34,1991-07-26,"jardim joão guilherme albuquerque, 548
beija flor
35392281 sousa de das neves / al",PIAUÍ
232,Sophie Lopes,431.567.928-37,34,1991-03-13,"viela de câmara, 23
vila antena
48120-774 da cunha da mata / rj",GOIÁS
233,Helena Gomes,931.765.804-01,53,1972-06-27,"alameda pinto
vila pinho
69938256 cavalcante das pedras / ms",PERNAMBUCO
234,Lívia Albuquerque,475.608.912-76,30,1995-08-22,"feira lucas gabriel barbosa, 33
ambrosina
31997861 azevedo / ac",MATO GROSSO
235,Emanuella Lopes,420.518.367-44,30,1995-03-16,"residencial de azevedo, 31
ouro minas
65630-131 barros / pr",AMAPÁ
236,Evelyn Jesus,473.190.852-32,51,1974-06-18,"viaduto araújo, 85
mantiqueira
47833841 porto do amparo / al",MARANHÃO
237,Dr. Davi Lucas Rocha,219.863.047-87,41,1984-01-08,"parque benicio machado, 7
são francisco das chagas
76774-290 novaes de lopes / pb",MATO GROSSO
238,Rafaela Mendonça,698.372.514-09,50,1975-03-19,"setor luan rezende, 91
paquetá
87264062 martins da praia / pe",ESPÍRITO SANTO
239,Sr. Calebe Lopes,108.675.324-08,53,1972-03-09,"residencial lima, 70
vila califórnia
85876196 camargo / pa",ESPÍRITO SANTO
240,Sr. Ravi Lucca Albuquerque,231.096.845-51,53,1972-07-23,"quadra clarice novais, 25
vila atila de paiva
67294-925 da cunha de moraes / am",RIO GRANDE DO SUL
241,Ryan Viana,786.513.042-26,25,2000-07-13,"estação matteo oliveira, 75
serra do curral
61508045 farias de das neves / ce",RIO DE JANEIRO
242,Sr. José Pedro Cassiano,204.613.879-13,38,1987-05-28,"favela amanda vieira, 375
vila olhos d'água
14147135 silveira / mt",GOIÁS
243,Pedro Lucas Rios,246.753.109-07,34,1991-03-19,"conjunto liz marques
marajó
00112-490 fernandes do galho / ro",RIO GRANDE DO NORTE
244,Ravi Moraes,025.863.941-51,55,1970-10-15,"trevo mirella câmara, 58
grota
34300595 pimenta de teixeira / rn",MATO GROSSO DO SUL
245,Sra. Raquel Araújo,567.134.809-93,37,1987-11-11,"colônia lívia martins, 48
conjunto novo dom bosco
85839-780 duarte da mata / pr",MATO GROSSO
246,Maria Alice Carvalho,364.297.081-87,59,1966-04-10,"colônia marcela novaes, 73
camponesa 2ª seção
54498-947 rodrigues / sc",PARÁ
247,Isabel Duarte,142.893.750-14,50,1975-07-03,"recanto souza, 77
manacas
51221-437 freitas / pb",SERGIPE
248,Ana Carolina Cardoso,346.172.580-35,33,1992-03-14,"setor de rios, 5
inconfidência
29644-294 freitas do amparo / rj",PARANÁ
249,Gabrielly Pinto,619.037.425-52,35,1990-09-23,"rua de almeida, 235
juliana
88605-520 da costa verde / ma",MINAS GERAIS
250,Mariah Fogaça,583.712.640-62,52,1973-04-12,"estação monteiro, 899
vila independencia 3ª seção
61947-083 pereira de campos / df",MINAS GERAIS
251,Dra. Melissa Sales,619.247.538-55,58,1967-05-06,"loteamento pedro henrique pereira, 29
vila minaslandia
99158401 ribeiro / sp",PARÁ
252,Pedro Lucas Campos,769.841.520-11,57,1968-06-16,"rua vitor hugo pires, 49
cônego pinheiro 2ª seção
71455978 guerra do oeste / df",MARANHÃO
253,Jade Barros,846.720.153-35,56,1969-10-13,"rua juliana ribeiro, 47
serrano
32844914 oliveira / go",CEARÁ
254,Alícia Leão,419.673.250-06,42,1983-06-20,"distrito de castro, 58
bernadete
67152655 cavalcante / ce",TOCANTINS
255,Dr. Benjamim Cavalcanti,068.723.915-02,39,1986-04-09,"lago de gonçalves, 220
bandeirantes
23615729 pires / ma",PARÁ
256,Bento Guerra,129.480.573-88,44,1981-08-04,"avenida alexia brito, 233
ventosa
47534-378 sá / se",GOIÁS
257,Nina Pimenta,541.386.720-44,46,1979-08-25,"setor de pinto, 3
vila mantiqueira
84792-901 da rocha / ms",AMAZONAS
258,Valentim Castro,629.345.801-05,32,1992-12-23,"feira arthur gabriel silva
funcionários
13464945 ferreira / ac",DISTRITO FEDERAL
259,Anna Liz Macedo,168.945.302-89,54,1971-10-03,"loteamento de carvalho, 242
planalto
92639-976 guerra do amparo / ap",MATO GROSSO
260,Maria Vieira,816.253.940-98,25,2000-09-05,"fazenda azevedo, 3
vila sesc
75491912 rios / sp",MATO GROSSO DO SUL
261,Rodrigo Cunha,752.184.630-35,57,1968-07-23,"ladeira caroline farias, 904
tupi a
37222665 garcia / rr",PARÁ
262,Dr. Antônio Nascimento,790.132.456-25,25,2000-09-27,"área de viana, 2
novo glória
42327-335 dias de dias / sc",MATO GROSSO DO SUL
263,Enrico Rios,476.239.018-69,49,1976-06-24,"praça de fogaça, 53
nova granada
61677-986 fogaça / rj",DISTRITO FEDERAL
264,Dr. José Pedro Rodrigues,170.384.692-31,24,2001-05-19,"jardim vinicius da costa, 2
grajaú
07582-159 rezende de da cruz / al",PARAÍBA
265,Dr. Ravi Lucca Dias,963.725.840-00,54,1971-04-11,"área de brito, 21
vista do sol
54515-314 cunha das flores / rr",AMAPÁ
266,Davi Miguel Vieira,930.812.546-98,48,1977-09-20,"pátio arthur miguel silveira, 35
barão homem de melo 1ª seção
10038793 aragão do galho / pb",SERGIPE
267,Mariah Pastor,264.518.390-51,54,1971-10-24,"trecho de alves, 424
ribeiro de abreu
88661453 albuquerque de minas / am",SANTA CATARINA
268,Dr. Théo Brito,108.746.293-22,27,1998-06-07,"parque sara cirino, 79
primeiro de maio
25494331 nascimento / rj",SÃO PAULO
269,Sr. Luiz Miguel Jesus,246.795.380-74,28,1997-08-27,"fazenda liz fernandes, 8
vila minaslandia
23333412 da rocha das flores / pa",MATO GROSSO DO SUL
270,Erick Lopes,418.932.570-88,59,1965-11-07,"jardim vargas, 44
alto das antenas
37043642 albuquerque / rj",RIO DE JANEIRO
271,Natália Lopes,781.095.634-57,60,1965-02-25,"morro cardoso, 54
são josé
07349-205 melo verde / al",SÃO PAULO
272,Maya Da Costa,986.521.043-60,56,1968-11-20,"distrito de montenegro, 18
vila maloca
41529-989 freitas / go",MATO GROSSO
273,Bruno Martins,842.710.956-30,50,1975-06-19,"parque de da luz, 3
são jorge 1ª seção
35831008 câmara / pi",RONDÔNIA
274,Ester Rodrigues,359.724.608-74,46,1979-09-28,"vale de mendes, 89
vila rica
79545-069 leão do amparo / am",RIO GRANDE DO NORTE
275,Pietra Garcia,546.230.718-71,46,1978-12-03,"setor sophie nascimento
santa sofia
89724605 correia / es",CEARÁ
276,João Vitor Aparecida,196.087.425-01,29,1996-07-01,"avenida antonella sá, 241
caiçara - adelaide
77809475 da costa / ba",SERGIPE
277,Milena Machado,098.234.561-51,38,1987-08-07,"distrito valentim peixoto, 398
flavio marques lisboa
10328889 borges / ba",TOCANTINS
278,Gael Fonseca,859.407.362-38,39,1986-02-15,"pátio de leão, 2
xodo-marize
16573463 novais / ms",PARÁ
279,Manuella Da Luz,309.176.542-34,29,1996-01-03,"sítio ana leão, 1
nossa senhora da aparecida
98311445 monteiro das pedras / ba",PIAUÍ
280,Heloísa Da Paz,419.830.267-78,24,2001-10-29,"rodovia de da mota, 53
joão alfredo
13898685 ramos do oeste / al",MARANHÃO
281,Benjamin Porto,791.834.205-41,43,1982-09-27,"feira de ribeiro, 4
cinquentenário
73338-633 duarte das flores / ba",PIAUÍ
282,Srta. Melina Machado,942.183.507-79,45,1980-09-23,"loteamento de da cruz, 74
antonio ribeiro de abreu 1ª seção
97076-404 sá / am",RIO DE JANEIRO
283,Milena Da Luz,453.670.981-93,37,1988-05-30,"ladeira barbosa, 3
são paulo
06285-075 cassiano da praia / to",PIAUÍ
284,Dra. Emanuella Correia,579.013.246-43,59,1965-12-21,"quadra de rocha, 74
serra
51612-220 ferreira grande / pi",DISTRITO FEDERAL
285,Maria Luísa Brito,261.384.570-80,39,1986-08-19,"parque de ribeiro, 68
lagoinha
95952-907 da conceição / rn",PIAUÍ
286,Ana Cecília Araújo,832.965.470-29,56,1969-07-13,"morro monteiro, 162
solar do barreiro
35110414 casa grande do amparo / ma",SANTA CATARINA
287,Maria Clara Cunha,820.934.617-22,55,1970-04-19,"lago de gonçalves, 84
aguas claras
09527702 camargo alegre / pa",RIO GRANDE DO NORTE
288,Léo Teixeira,310.289.457-79,48,1977-06-26,"favela monteiro, 54
vila são dimas
54463-398 araújo / to",PERNAMBUCO
289,João Miguel Da Luz,790.641.538-84,56,1969-08-24,"trecho de cassiano, 31
nova pampulha
00560747 costela / pi",CEARÁ
290,Amanda Cavalcanti,890.243.765-56,37,1988-01-06,"núcleo macedo, 868
vila coqueiral
34768-325 abreu do campo / am",CEARÁ
291,Apollo Machado,354.819.762-00,30,1994-11-12,"feira guerra
leonina
46398908 teixeira / ma",BAHIA
292,Fernando Mendes,349.561.728-00,18,2007-02-18,"favela de andrade, 62
paulo vi
40941661 fonseca de cardoso / to",SANTA CATARINA
293,Liz Lima,217.508.396-95,59,1966-10-01,"alameda marcelo azevedo, 3
vila da amizade
30929-952 sá / ma",PARAÍBA
294,Sophia Novais,230.174.569-43,21,2004-09-05,"trevo farias, 617
beija flor
75343-033 da luz do amparo / pi",BAHIA
295,Dr. Heitor Da Mota,708.369.154-10,50,1974-11-07,"loteamento de campos, 20
conjunto santa maria
67164159 vasconcelos de fogaça / sc",SANTA CATARINA
296,Juliana Santos,281.543.907-79,53,1972-03-07,"chácara viana, 39
luxemburgo
57783785 silveira alegre / pi",ESPÍRITO SANTO
297,Caroline Rodrigues,751.698.324-19,28,1996-12-28,"favela de da rocha, 92
vila petropolis
94400-637 fonseca de pimenta / sc",BAHIA
298,Srta. Valentina Mendes,761.298.054-11,41,1984-04-12,"rua de camargo, 22
araguaia
41727-014 moraes / pr",SÃO PAULO
299,Maria Eduarda Albuquerque,572.419.608-58,19,2006-03-10,"travessa thomas da rosa, 945
conjunto capitão eduardo
18251-329 farias / pa",PARAÍBA
300,Otávio Nascimento,028.635.419-51,54,1971-05-18,"largo maria costa, 65
trevo
93602009 da cunha / ma",MATO GROSSO DO SUL
301,Renan Guerra,497.028.136-03,48,1977-08-03,"estação davi lucca mendonça, 65
lajedo
04052289 sampaio grande / ba",MATO GROSSO
302,Luiz Miguel Farias,590.841.237-60,37,1988-05-08,"viaduto heloísa gomes, 6
copacabana
89287264 monteiro / go",PARÁ
303,Maria Luísa Pacheco,978.420.365-00,53,1972-06-19,"praça de siqueira, 69
são bernardo
74335421 caldeira / pa",AMAPÁ
304,Ravi Silva,621.845.397-91,30,1995-07-30,"vereda luiz otávio leão, 83
vera cruz
49207-227 nascimento / pa",MATO GROSSO DO SUL
305,Emanuelly Das Neves,362.190.748-31,59,1965-11-23,"vila pinto, 73
cardoso
73682109 abreu / mt",RORAIMA
306,Amanda Pinto,176.439.028-87,54,1971-05-25,"ladeira de carvalho, 10
miramar
13803-299 ribeiro / ms",SERGIPE
307,Emanuella Sá,435.189.620-51,55,1970-10-18,"área joão felipe pires, 616
vila bandeirantes
40316-409 montenegro do sul / pa",ESPÍRITO SANTO
308,Stella Silveira,258.460.793-00,30,1995-03-06,"pátio vinícius cavalcante, 112
vila fumec
85955-387 lopes da prata / ac",RIO GRANDE DO SUL
309,Maysa Silva,829.357.610-30,38,1987-06-04,"praia théo gomes, 12
vila mangueiras
29265496 pimenta / se",GOIÁS
310,Carolina Da Rosa,513.690.287-68,36,1988-11-14,"largo souza, 77
conjunto celso machado
98732617 moraes de lima / ro",ACRE
311,João Felipe Ferreira,872.164.035-17,21,2004-07-13,"esplanada paulo da cruz, 91
gutierrez
67874-429 dias de mendes / ba",PARAÍBA
312,Fernanda Machado,850.132.647-07,43,1981-12-09,"praia pacheco, 630
alto barroca
25175-381 sousa / rr",RIO GRANDE DO NORTE
313,Pedro Lucas Ramos,096.415.237-16,31,1994-04-04,"trevo de guerra, 58
parque são pedro
03184-977 gonçalves / mt",ALAGOAS
314,Manuela Das Neves,163.072.954-06,32,1993-06-18,"esplanada ravy lima, 9
conjunto califórnia ii
67606-309 souza da mata / mg",RIO GRANDE DO NORTE
315,Valentina Abreu,406.593.817-10,29,1996-09-10,"lagoa caroline pastor, 75
são damião
29436-505 pinto / sp",TOCANTINS
316,Ravi Sales,403.218.956-06,54,1971-03-02,"pátio fonseca, 981
são francisco das chagas
30253110 pinto das pedras / ro",ACRE
317,Vitor Alves,698.071.352-30,49,1976-01-04,"conjunto de rocha, 162
comiteco
55163923 costela da prata / pe",SÃO PAULO
318,Srta. Lavínia Monteiro,967.543.108-39,18,2007-09-02,"passarela de souza, 19
vila da luz
29624-450 vargas do oeste / df",SANTA CATARINA
319,João Rodrigues,481.902.576-76,41,1984-04-11,"praça luara ramos, 636
tirol
75402-992 guerra do norte / se",PARANÁ
320,Marina Aragão,796.014.352-80,47,1978-06-08,"vereda agatha campos, 5
braúnas
43823317 cardoso / pb",BAHIA
321,Théo Da Conceição,418.579.602-11,46,1978-12-15,"pátio leonardo vasconcelos, 17
flamengo
03600786 azevedo dos dourados / rs",RIO DE JANEIRO
322,Enzo Gabriel Da Costa,964.013.587-93,19,2006-06-07,"área lunna vasconcelos, 72
são joão batista
87789-579 da rocha / al",PARANÁ
323,Brenda Mendonça,561.803.792-03,18,2007-04-25,"quadra sabrina montenegro, 2
ventosa
75796122 da mota do campo / ap",BAHIA
324,Esther Borges,253.941.086-33,57,1968-05-17,"esplanada ana fernandes, 49
santa tereza
79891834 silveira / rr",CEARÁ
325,Ana Sophia Souza,356.807.192-40,51,1974-04-21,"quadra silveira, 84
milionario
34856-272 da conceição verde / rj",AMAPÁ
326,Dr. Pedro Henrique Da Cunha,325.190.864-24,60,1964-11-23,"viaduto levi moraes
são jorge 2ª seção
19183-870 da luz das pedras / se",RIO GRANDE DO SUL
327,Luiz Henrique Viana,687.942.315-91,25,1999-11-22,"sítio gonçalves, 791
glória
62200480 sousa do amparo / ce",MINAS GERAIS
328,Catarina Machado,891.325.067-59,29,1995-11-05,"lago enzo gabriel mendes, 28
vila copasa
29542-695 novais / pe",ACRE
329,Gael Henrique Rocha,034.697.128-40,45,1980-08-09,"colônia da rosa, 6
beira linha
11672514 farias de oliveira / to",PARANÁ
330,Dr. Vitor Hugo Da Rocha,581.207.639-12,20,2005-08-18,"residencial de camargo, 80
santa sofia
28142677 araújo da prata / ma",RORAIMA
331,Ana Liz Araújo,954.267.081-85,31,1994-03-29,"praça farias, 45
candelaria
50159-410 brito do amparo / se",PERNAMBUCO
332,Camila Caldeira,180.472.935-32,34,1991-09-10,"viela de leão, 37
santa cruz
17330-756 da costa / pa",RIO DE JANEIRO
333,Luigi Da Costa,681.439.572-09,41,1984-06-12,"aeroporto câmara, 59
horto
91887-565 da cunha das flores / rn",MARANHÃO
334,Stephany Fogaça,607.529.381-77,46,1979-03-04,"praça luigi costela, 7
jaraguá
57624324 cavalcanti / pa",ESPÍRITO SANTO
335,Valentina Barbosa,752.031.864-80,21,2004-06-23,"viela montenegro, 16
pantanal
49383-589 ramos / rn",SANTA CATARINA
336,Luiz Felipe Jesus,109.573.684-10,20,2005-01-24,"pátio emanuella garcia, 400
vila nova cachoeirinha 3ª seção
86842-852 farias da mata / pi",MARANHÃO
337,Emanuelly Fernandes,769.285.413-00,59,1965-12-11,"praça de da mata, 388
vila minaslandia
10600-262 costela de goiás / mt",DISTRITO FEDERAL
338,Lavínia Mendes,701.836.524-44,49,1976-03-14,"parque casa grande, 13
tirol
99445159 novaes do galho / ms",RIO GRANDE DO NORTE
339,Theo Da Conceição,501.483.672-08,25,1999-11-30,"recanto freitas, 26
urca
09120369 sampaio de minas / rs",DISTRITO FEDERAL
340,Dr. Arthur Gabriel Peixoto,260.974.815-94,43,1982-03-30,"distrito camargo, 1
dom bosco
02065-085 correia paulista / mg",MATO GROSSO DO SUL
341,José Miguel Nunes,820.457.691-94,52,1973-07-26,"vereda lopes, 23
conjunto serra verde
65911-391 teixeira / es",RORAIMA
342,Pedro Miguel Macedo,492.763.105-25,34,1991-05-13,"vale siqueira, 4
vila coqueiral
03173-227 martins / se",PARANÁ
343,Rodrigo Viana,107.385.924-04,46,1979-05-01,"loteamento anna liz borges
itaipu
30527-084 gomes do amparo / sp",SERGIPE
344,Sophie Moraes,402.536.179-52,44,1981-05-07,"viaduto cavalcanti, 675
biquinhas
37465-558 santos do oeste / al",MATO GROSSO
345,Ravi Moraes,903.741.268-87,20,2004-11-17,"residencial ravy da mota, 12
conjunto floramar
92064-526 lopes / to",PERNAMBUCO
346,Camila Câmara,603.417.289-69,51,1974-07-12,"vereda de ribeiro, 1
estrela do oriente
36464-067 rodrigues alegre / es",BAHIA
347,Valentim Porto,813.765.429-19,39,1985-12-01,"jardim de novais, 20
vila santo antônio barroquinha
38656812 jesus / df",RONDÔNIA
348,Daniela Rocha,701.452.938-23,60,1965-02-12,"lago yan rios, 2
canaa
85495-966 andrade / es",MARANHÃO
349,Maria Vitória Vieira,735.961.284-55,50,1975-03-01,"ladeira almeida, 93
alpes
97056-266 nunes / ro",CEARÁ
350,Dra. Heloisa Cardoso,179.064.358-93,22,2002-11-12,"via letícia guerra, 11
ademar maldonado
38763435 lopes / rs",RIO GRANDE DO NORTE
351,Yan Nunes,169.032.754-52,47,1978-02-14,"via de câmara, 3
caetano furquim
01358-760 duarte / al",CEARÁ
352,Murilo Rezende,624.039.175-16,30,1994-11-07,"viaduto augusto da costa, 12
baleia
79217002 aparecida da serra / ac",PERNAMBUCO
353,Melissa Aparecida,812.359.046-60,39,1986-03-23,"praça de novais, 7
concórdia
46041694 costa / am",RIO GRANDE DO NORTE
354,Sr. Dante Fonseca,506.279.314-99,20,2005-06-02,"colônia larissa martins, 13
vila santa monica 2ª seção
80787699 mendonça / pe",MARANHÃO
355,Vitor Hugo Dias,985.726.104-30,56,1968-12-12,"jardim de sousa, 407
monsenhor messias
32912-954 freitas verde / ro",TOCANTINS
356,Augusto Barros,540.937.812-14,40,1984-12-11,"estrada josé miguel farias, 1
trevo
00555-180 nascimento do oeste / pb",GOIÁS
357,Ana Carolina Freitas,681.325.047-71,59,1965-12-23,"lago de costa, 88
virgínia
56382-476 da cruz do amparo / pe",PARAÍBA
358,Bianca Camargo,326.948.710-03,56,1968-12-10,"ladeira de alves, 98
miramar
71101-380 leão do galho / to",SERGIPE
359,Lucas Da Rosa,270.618.349-78,45,1980-10-10,"chácara de barros, 40
ipiranga
97118262 da rocha / ce",MINAS GERAIS
360,Bruno Rios,428.315.096-70,58,1966-12-07,"setor de da costa, 90
vila independencia 1ª seção
27831630 duarte / sp",MINAS GERAIS
361,Kamilly Gonçalves,893.015.762-95,56,1969-09-12,"jardim da mata, 660
maria tereza
62149306 da cruz da serra / ms",GOIÁS
362,Ravi Costela,153.789.420-04,24,2001-03-31,"vereda emilly cardoso, 25
caiçaras
47479-398 barros / ac",SÃO PAULO
363,Cauã Borges,102.748.356-90,33,1992-01-16,"campo de rios
mirante
20060200 jesus / go",PIAUÍ
364,Luigi Alves,910.367.854-75,22,2003-03-21,"pátio ramos, 359
coqueiros
15876-279 moraes da serra / am",RIO DE JANEIRO
365,Olívia Correia,075.489.123-23,26,1999-06-04,"rodovia de marques, 31
penha
34047581 pastor / ap",PARANÁ
366,Maria Clara Câmara,819.503.264-89,36,1988-11-18,"praça de sá, 27
diamante
92224429 cavalcante / ba",SÃO PAULO
367,Sra. Luiza Ferreira,514.097.386-39,43,1981-12-15,"condomínio da mata, 5
inconfidência
96263859 montenegro / pi",RIO GRANDE DO SUL
368,Diogo Araújo,437.859.016-66,41,1983-11-21,"fazenda rafaela peixoto
vila nossa senhora do rosário
26499270 aparecida de da rocha / rr",ESPÍRITO SANTO
369,Diego Freitas,480.317.659-01,33,1992-07-02,"fazenda barbosa, 98
maria tereza
51666750 leão / ms",AMAPÁ
370,João Miguel Almeida,356.278.904-10,30,1994-11-12,"lago de albuquerque, 21
novo glória
84033187 da paz paulista / pi",ALAGOAS
371,Dra. Ísis Aparecida,817.246.039-22,21,2004-09-08,"morro santos, 5
alto barroca
19766-951 fonseca do amparo / rr",SERGIPE
372,Sr. Theo Aragão,856.492.073-56,31,1994-02-27,"condomínio joão guilherme da mata, 61
ermelinda
86501-984 albuquerque / pe",PARAÍBA
373,Dr. Yan Souza,371.490.628-22,26,1998-12-31,"avenida de nogueira, 89
piratininga
28496685 garcia / pa",AMAZONAS
374,Yasmin Almeida,785.903.426-38,26,1999-01-01,"viela de caldeira
canaa
56953-193 almeida / to",BAHIA
375,Heitor Azevedo,459.237.186-00,35,1990-04-05,"lagoa juliana da mota, 9
vila aeroporto
02338150 cardoso de novaes / pa",CEARÁ
376,Srta. Lívia Das Neves,057.219.436-61,30,1995-07-17,"morro de cunha, 80
aarão reis
20076-432 sampaio / ba",SÃO PAULO
377,Yan Ramos,642.735.180-07,40,1985-08-31,"condomínio isabela cavalcanti
jonas veiga
28687-549 marques das pedras / rs",AMAPÁ
378,Dr. Raul Da Mota,625.940.831-51,19,2006-04-07,"ladeira araújo, 8
frei leopoldo
62973368 nascimento do campo / es",PARANÁ
379,Julia Teixeira,458.721.036-62,53,1972-08-19,"área de nogueira
vila nova paraíso
80004-818 porto / ro",MATO GROSSO
380,Ryan Gonçalves,196.048.532-60,38,1987-06-30,"trevo rezende, 46
jardim américa
42036722 caldeira das pedras / ms",RIO GRANDE DO NORTE
381,Manuela Moreira,835.974.120-41,49,1976-05-06,"trecho kamilly monteiro, 28
venda nova
28705914 sales grande / pr",AMAPÁ
382,Dr. Rafael Silveira,837.469.152-28,46,1979-06-29,"pátio abreu
dom bosco
43465813 costa do amparo / rr",PARAÍBA
383,Stephany Vasconcelos,359.618.740-01,60,1965-04-17,"loteamento de martins, 9
aparecida 7ª seção
78441-095 mendes do amparo / al",CEARÁ
384,Luigi Fernandes,671.038.952-95,21,2004-01-24,"lago maria alice albuquerque, 83
vila inestan
88756-970 azevedo / pi",RIO GRANDE DO SUL
385,Gael Henrique Cavalcanti,195.206.738-30,34,1991-08-10,"fazenda de aragão, 31
conjunto providencia
89002251 novais de montenegro / ba",CEARÁ
386,Sarah Pimenta,647.289.310-13,28,1997-04-29,"lagoa eduarda cirino, 51
maria helena
53397-946 carvalho / ce",RORAIMA
387,Marcela Da Costa,089.172.634-96,41,1984-09-21,"estação porto, 10
vila canto do sabiá
59823912 costa / rr",PARANÁ
388,Alexandre Sousa,146.870.932-13,25,2000-03-26,"trecho de aragão, 1
minas brasil
40770-667 melo / pb",SÃO PAULO
389,Theodoro Da Cruz,854.067.219-76,22,2003-08-23,"aeroporto leandro da mota, 40
flavio marques lisboa
04993616 novaes de goiás / pi",PIAUÍ
